payment_id,user_id,biller_code,biller_name,pay_amount,currency_code,payment_date,payment_status,bill_category,account_number
BILL-00001,CUST-1019,SEC-002,Jeddah Electricity,14783.26,SAR,29/04/2025 12:26,success,utilities,93XXXXXXX5
BILL-00002,CUST-1083,STC-002,STC Fiber,13508.41,SAR,02/06/2025 02:59,success,telecom,93XXXXXXX5
BILL-00003,CUST-1159,STC-001,STC Telecom,18567.11,SAR,10/02/2025 15:16,success,telecom,98XXXXXXX2
BILL-00004,CUST-1134,ZAI-001,Zain Telecom,1856.27,SAR,20/01/2025 13:32,success,telecom,19XXXXXXX3
BILL-00005,CUST-1079,GOV-001,Absher Gov Services,2389.16,SAR,09/05/2025 03:51,success,government,75XXXXXXX2
BILL-00006,CUST-1066,EDU-001,KSU University,19209.98,SAR,18/04/2025 12:05,in_progress,education,74XXXXXXX4
BILL-00007,CUST-1119,STC-002,STC Fiber,1319.94,SAR,12/01/2025 07:24,success,telecom,57XXXXXXX1
BILL-00008,CUST-1007,EDU-002,KAUST Tuition,9291.40,SAR,06/05/2025 07:23,success,education,12XXXXXXX7
BILL-00009,CUST-1099,INS-001,Tawuniya Insurance,4657.92,SAR,20/03/2025 13:52,failed,insurance,32XXXXXXX5
BILL-00010,CUST-1169,INS-001,Tawuniya Insurance,3271.80,SAR,06/03/2025 23:51,success,insurance,67XXXXXXX3
BILL-00011,CUST-1197,MOB-002,Mobily Fiber,15169.05,SAR,11/01/2025 05:01,success,telecom,42XXXXXXX8
BILL-00012,CUST-1124,ZAI-002,Zain Fiber,15547.26,SAR,03/06/2025 15:00,success,telecom,92XXXXXXX4
BILL-00013,CUST-1155,ZAI-002,Zain Fiber,12481.47,SAR,09/05/2025 20:24,failed,telecom,52XXXXXXX3
BILL-00014,CUST-1167,INS-001,Tawuniya Insurance,15517.41,SAR,01/05/2025 17:24,success,insurance,65XXXXXXX4
BILL-00015,CUST-1145,MOB-001,Mobily,20273.75,SAR,28/02/2025 08:37,success,telecom,56XXXXXXX5
BILL-00016,CUST-1028,VIS-001,MOI Traffic Fines,13645.05,SAR,13/02/2025 14:23,success,government,74XXXXXXX6
BILL-00017,CUST-1184,VIS-001,MOI Traffic Fines,3861.46,SAR,02/02/2025 03:39,in_progress,government,61XXXXXXX3
BILL-00018,CUST-1155,STC-001,STC Telecom,2537.70,SAR,05/06/2025 23:31,success,telecom,55XXXXXXX2
BILL-00019,CUST-1155,VIS-001,MOI Traffic Fines,7858.59,SAR,04/04/2025 12:45,success,government,46XXXXXXX8
BILL-00020,CUST-1190,MOB-002,Mobily Fiber,23944.60,SAR,12/03/2025 02:55,in_progress,telecom,92XXXXXXX6
