txn_id,card_number,customer_id,merchant_name,txn_amount,txn_currency,txn_timestamp,txn_status,card_type,mcc_code
TXN-00001,4532XXXX3286,CUST-1164,SABB ATM,4129.06,SAR,2025-02-13T08:14:14Z,pending,debit,6011
TXN-00002,4532XXXX2535,CUST-1174,Zain Telecom,6331.72,SAR,2025-01-06T18:51:54Z,approved,debit,4814
TXN-00003,4532XXXX9928,CUST-1130,HyperPanda,2986.57,SAR,2025-05-07T04:40:51Z,approved,debit,5411
TXN-00004,4532XXXX3615,CUST-1115,Whites Pharmacy,13040.16,SAR,2025-05-28T08:17:55Z,declined,debit,5912
TXN-00005,4532XXXX2674,CUST-1088,Lulu Hypermarket,14358.41,SAR,2025-03-07T08:38:39Z,approved,debit,5411
TXN-00006,4532XXXX1711,CUST-1025,Danube Online,9057.87,USD,2025-06-06T17:29:25Z,pending,debit,5411
TXN-00007,4532XXXX5803,CUST-1138,SABB ATM,5681.12,EUR,2025-04-18T04:41:44Z,declined,credit,6011
TXN-00008,4532XXXX4733,CUST-1093,Shein SA,1047.98,SAR,2025-05-09T09:42:37Z,pending,debit,5311
TXN-00009,4532XXXX6977,CUST-1021,IKEA Saudi,5704.99,USD,2025-03-30T01:02:42Z,approved,debit,5712
TXN-00010,4532XXXX2169,CUST-1091,Spotify,10528.80,SAR,2025-05-13T17:33:46Z,approved,credit,4899
TXN-00011,4532XXXX5422,CUST-1044,Zain Telecom,2455.22,SAR,2025-03-15T16:23:25Z,declined,credit,4814
TXN-00012,4532XXXX1916,CUST-1143,IKEA Saudi,12643.56,SAR,2025-05-31T16:25:18Z,approved,debit,5712
TXN-00013,4532XXXX6155,CUST-1081,Zara SA,3168.69,SAR,2025-04-21T03:15:02Z,approved,credit,5651
TXN-00014,4532XXXX5339,CUST-1128,Zara SA,9644.56,USD,2025-01-28T17:49:47Z,approved,debit,5651
TXN-00015,4532XXXX7543,CUST-1191,PlayStation Store,11206.47,SAR,2025-03-25T04:38:46Z,approved,debit,5816
TXN-00016,4532XXXX2796,CUST-1036,Al Rajhi ATM,11337.95,SAR,2025-06-17T05:01:49Z,approved,credit,6011
TXN-00017,4532XXXX8668,CUST-1041,H&M Saudi,5774.59,SAR,2025-04-26T17:02:28Z,approved,debit,5651
TXN-00018,4532XXXX9797,CUST-1142,Jarir Bookstore,1722.70,SAR,2025-06-21T19:24:46Z,pending,debit,5942
TXN-00019,4532XXXX8433,CUST-1197,Tawuniya Insurance,4406.03,SAR,2025-01-31T17:04:06Z,approved,credit,6300
TXN-00020,4532XXXX2743,CUST-1185,Flynas Airline,11430.62,EUR,2025-04-09T13:58:05Z,declined,debit,3000
TXN-00021,4532XXXX3646,CUST-1164,Al Rajhi ATM,2296.82,SAR,2025-05-29T01:33:28Z,approved,credit,6011
TXN-00022,4532XXXX6947,CUST-1136,Jarir Bookstore,7331.64,SAR,2025-01-22T17:20:28Z,approved,debit,5942
TXN-00023,4532XXXX8962,CUST-1015,Hunger Station,14204.51,USD,2025-01-17T15:10:26Z,approved,credit,5812
TXN-00024,4532XXXX3705,CUST-1137,Namshi Fashion,7131.86,SAR,2025-04-17T18:16:13Z,approved,credit,5651
TXN-00025,4532XXXX4295,CUST-1156,H&M Saudi,13934.06,EUR,2025-05-27T15:47:27Z,declined,debit,5651
